,Street Name
0,HOLLAND DR
1,KEAT HONG LINK
2,TECK WHYE LANE
3,TOWNER RD
4,WOODLANDS AVE 4
5,CLEMENTI ST 13
6,ANG MO KIO AVE 10
7,BISHAN ST 22
8,JELEBU RD
9,STRATHMORE AVE
10,CHOA CHU KANG AVE 7
11,CHOA CHU KANG CRES
12,JURONG WEST AVE 1
13,MARINE DR
14,BANGKIT RD
15,WOODLANDS DR 53
16,YISHUN AVE 2
17,LENGKONG TIGA
18,ST. GEORGE'S LANE
19,JURONG WEST ST 73
20,ANG MO KIO AVE 2
21,BT BATOK ST 32
22,BT BATOK ST 31
23,PAYA LEBAR WAY
24,ANG MO KIO ST 32
25,JURONG EAST ST 32
26,HOUGANG CTRL
27,SERANGOON NTH AVE 1
28,JURONG WEST ST 65
29,WOODLANDS DR 40
30,BT MERAH VIEW
31,JURONG EAST ST 21
32,DOVER CRES
33,JELAPANG RD
34,TAMPINES ST 24
35,TAMPINES AVE 5
36,TAMPINES ST 86
37,WOODLANDS DR 42
38,TAMPINES ST 84
39,LOR 7 TOA PAYOH
40,CLEMENTI AVE 6
41,TAMPINES AVE 7
42,HOUGANG ST 92
43,HOUGANG AVE 10
44,CLEMENTI AVE 4
45,BOON TIONG RD
46,WHAMPOA STH
47,WOODLANDS DR 52
48,BT BATOK WEST AVE 4
49,REDHILL LANE
50,BT BATOK EAST AVE 5
51,JLN MEMBINA
52,REDHILL RD
53,YISHUN ST 22
54,ANG MO KIO ST 61
55,C'WEALTH CL
56,YUAN CHING RD
57,TAMPINES ST 11
58,PUNGGOL FIELD WALK
59,SIMEI ST 4
60,ANG MO KIO ST 11
61,JLN BAHAGIA
62,STIRLING RD
63,HOUGANG ST 22
64,BEDOK STH AVE 1
65,JURONG WEST ST 61
66,YUNG SHENG RD
67,GEYLANG EAST CTRL
68,FARRER PK RD
69,JLN TENTERAM
70,SIMEI ST 2
71,FERNVALE LINK
72,JURONG EAST ST 24
73,CASHEW RD
74,BT BATOK EAST AVE 4
75,KELANTAN RD
76,ROWELL RD
77,EDGEDALE PLAINS
78,NTH BRIDGE RD
79,DORSET RD
80,WOODLANDS DR 73
81,TAMPINES ST 83
82,KIM PONG RD
83,BEDOK NTH ST 1
84,HOUGANG ST 11
85,PUNGGOL WALK
86,LOR 4 TOA PAYOH
87,WHAMPOA WEST
88,JURONG WEST ST 93
89,TAMPINES ST 81
90,YISHUN ST 20
91,TELOK BLANGAH DR
92,BT BATOK CTRL
93,JOO SENG RD
94,CLEMENTI WEST ST 1
95,CHOA CHU KANG CTRL
96,PASIR RIS DR 1
97,MARSILING RISE
98,WOODLANDS ST 81
99,WOODLANDS DR 72
100,NEW UPP CHANGI RD
101,SUMANG WALK
102,UPP SERANGOON RD
103,BUANGKOK LINK
104,JURONG EAST AVE 1
105,YISHUN ST 81
106,SIMS AVE
107,REDHILL CL
108,COMPASSVALE WALK
109,ANCHORVALE CRES
110,HOUGANG ST 21
111,PUNGGOL WAY
112,BISHAN ST 12
113,HOUGANG AVE 6
114,ANCHORVALE LINK
115,ANCHORVALE LANE
116,ANG MO KIO ST 31
117,BT BATOK ST 33
118,SELEGIE RD
119,CHOA CHU KANG DR
120,HOUGANG AVE 2
121,CLARENCE LANE
122,WATERLOO ST
123,CHAI CHEE RD
124,JURONG WEST AVE 5
125,WOODLANDS DR 60
126,SMITH ST
127,TELOK BLANGAH WAY
128,CHANDER RD
129,BT MERAH CTRL
130,JURONG EAST ST 31
131,KING GEORGE'S AVE
132,ST. GEORGE'S RD
133,BEDOK RESERVOIR CRES
134,CLEMENTI ST 14
135,QUEEN'S RD
136,WOODLANDS AVE 5
137,HOUGANG ST 32
138,SIN MING RD
139,JURONG WEST ST 92
140,ANG MO KIO AVE 4
141,PASIR RIS ST 41
142,TAMAN HO SWEE
143,TAMPINES AVE 1
144,PASIR RIS ST 13
145,JURONG WEST ST 52
146,COMPASSVALE DR
147,GEYLANG EAST AVE 1
148,QUEEN ST
149,HO CHING RD
150,KRETA AYER RD
151,ANG MO KIO AVE 6
152,CAMBRIDGE RD
153,TECK WHYE AVE
154,FAJAR RD
155,TAMPINES AVE 4
156,BT BATOK WEST AVE 8
157,JURONG WEST ST 51
158,BEDOK NTH AVE 1
159,LOWER DELTA RD
160,OWEN RD
161,JURONG WEST CTRL 1
162,CANTONMENT RD
163,TIONG BAHRU RD
164,UPP SERANGOON VIEW
165,HAVELOCK RD
166,TEBAN GDNS RD
167,SAUJANA RD
168,HOUGANG ST 51
169,SENGKANG EAST AVE
170,WOODLANDS DR 62
171,DAKOTA CRES
172,CLEMENTI ST 11
173,PUNGGOL PL
174,DELTA AVE
175,MACPHERSON LANE
176,TAMPINES ST 21
177,JURONG WEST ST 62
178,CHOA CHU KANG AVE 4
179,SENG POH RD
180,CHOA CHU KANG NTH 6
181,SEMBAWANG CRES
182,MARSILING CRES
183,RIVERVALE ST
184,PENDING RD
185,CANBERRA RD
186,LOR 6 TOA PAYOH
187,KIM CHENG ST
188,JURONG WEST ST 72
189,C'WEALTH AVE
190,WELLINGTON CIRCLE
191,TAMPINES ST 44
192,CHOA CHU KANG AVE 2
193,TELOK BLANGAH HTS
194,SERANGOON AVE 3
195,UPP BOON KENG RD
196,YUNG HO RD
197,JURONG WEST ST 25
198,DOVER CL EAST
199,HOUGANG AVE 8
200,YISHUN ST 41
201,C'WEALTH DR
202,CHOA CHU KANG ST 53
203,PASIR RIS DR 10
204,KIM KEAT AVE
205,YISHUN ST 11
206,YISHUN CTRL 1
207,JLN KUKOH
208,YISHUN ST 31
209,BALAM RD
210,WOODLANDS CIRCLE
211,LOR 1A TOA PAYOH
212,AH HOOD RD
213,PUNGGOL DR
214,WOODLANDS DR 70
215,WOODLANDS ST 13
216,PASIR RIS ST 72
217,TAMPINES ST 23
218,KEAT HONG CL
219,CLEMENTI AVE 1
220,BT BATOK ST 34
221,WEST COAST RD
222,SIMEI ST 5
223,TAMPINES ST 72
224,TAMPINES ST 33
225,GEYLANG SERAI
226,BEDOK CTRL
227,HOUGANG ST 61
228,PUNGGOL RD
229,TECK WHYE CRES
230,JURONG WEST ST 71
231,KANG CHING RD
232,JLN BATU
233,TOA PAYOH EAST
234,TAMPINES ST 32
235,WOODLANDS DR 14
236,BT BATOK WEST AVE 2
237,PASIR RIS ST 71
238,KIM TIAN PL
239,BT BATOK WEST AVE 5
240,SENGKANG WEST WAY
241,ANG MO KIO AVE 3
242,YISHUN AVE 4
243,EDGEFIELD PLAINS
244,ADMIRALTY DR
245,SERANGOON AVE 2
246,WOODLANDS DR 71
247,BAIN ST
248,BT MERAH LANE 1
249,CHOA CHU KANG ST 64
250,TAMPINES CTRL 7
251,BT BATOK EAST AVE 3
252,JURONG WEST ST 81
253,PASIR RIS ST 52
254,COMPASSVALE ST
255,YISHUN ST 72
256,KG ARANG RD
257,BRIGHT HILL DR
258,TANGLIN HALT RD
259,RACE COURSE RD
260,PUNGGOL FIELD
261,TESSENSOHN RD
262,SAGO LANE
263,HOUGANG AVE 5
264,EUNOS RD 5
265,JLN MA'MOR
266,BOON LAY AVE
267,CHANGI VILLAGE RD
268,PASIR RIS ST 53
269,HOUGANG AVE 9
270,CHOA CHU KANG NTH 7
271,SIMS PL
272,YISHUN AVE 5
273,HENDERSON RD
274,TAMPINES ST 12
275,TAH CHING RD
276,SERANGOON NTH AVE 3
277,JURONG EAST ST 13
278,C'WEALTH CRES
279,WOODLANDS ST 31
280,TAMPINES ST 71
281,BENDEMEER RD
282,EVERTON PK
283,KLANG LANE
284,JLN BERSEH
285,COMPASSVALE LANE
286,SEMBAWANG DR
287,JLN RAJAH
288,BOON LAY DR
289,SIMS DR
290,BT BATOK ST 22
291,YISHUN AVE 6
292,BEDOK NTH AVE 3
293,ADMIRALTY LINK
294,WOODLANDS DR 44
295,DOVER RD
296,COMPASSVALE CRES
297,SPOTTISWOODE PK RD
298,BEO CRES
299,KG KAYU RD
300,CHOA CHU KANG AVE 1
301,CHOA CHU KANG ST 62
302,ANG MO KIO AVE 1
303,CHOA CHU KANG ST 52
304,WOODLANDS ST 11
305,DAWSON RD
306,CHOA CHU KANG ST 51
307,SENJA RD
308,WOODLANDS RING RD
309,CHOA CHU KANG AVE 3
310,MOULMEIN RD
311,BUANGKOK GREEN
312,JLN BT HO SWEE
313,WOODLANDS AVE 9
314,HOUGANG AVE 4
315,FERNVALE ST
316,RIVERVALE WALK
317,SIMEI LANE
318,MARSILING RD
319,YISHUN AVE 1
320,BEDOK NTH ST 2
321,SERANGOON NTH AVE 4
322,PASIR RIS ST 21
323,WOODLANDS AVE 1
324,C'WEALTH AVE WEST
325,TAMPINES ST 42
326,YISHUN ST 51
327,CHAI CHEE DR
328,JLN BT MERAH
329,FERNVALE RD
330,YUNG AN RD
331,KALLANG BAHRU
332,GLOUCESTER RD
333,TELOK BLANGAH RISE
334,PANDAN GDNS
335,TAMPINES ST 82
336,CIRCUIT RD
337,TAO CHING RD
338,ELIAS RD
339,LOR LEW LIAN
340,WEST COAST DR
341,BT BATOK WEST AVE 7
342,SEMBAWANG WAY
343,EUNOS CRES
344,YISHUN RING RD
345,JURONG WEST ST 41
346,CHOA CHU KANG ST 54
347,TAMPINES AVE 9
348,SIMEI RD
349,YUNG KUANG RD
350,TOH GUAN RD
351,BUFFALO RD
352,ALJUNIED RD
353,JURONG WEST AVE 3
354,YISHUN AVE 11
355,LIM LIAK ST
356,ANG MO KIO AVE 5
357,CHAI CHEE AVE
358,BISHAN ST 11
359,BEDOK NTH ST 4
360,LOR 5 TOA PAYOH
361,SENGKANG CTRL
362,MARINE TER
363,PASIR RIS DR 4
364,GHIM MOH LINK
365,KIM KEAT LINK
366,JLN DUA
367,ANCHORVALE DR
368,TAMPINES ST 41
369,MARSILING LANE
370,WOODLANDS DR 50
371,VEERASAMY RD
372,BT BATOK ST 21
373,YISHUN AVE 3
374,JELLICOE RD
375,PASIR RIS ST 11
376,BOON LAY PL
377,TAMPINES ST 34
378,HOUGANG AVE 7
379,HOLLAND CL
380,JLN TECK WHYE
381,CLEMENTI ST 12
382,FRENCH RD
383,CHIN SWEE RD
384,BT BATOK WEST AVE 6
385,TAMPINES ST 45
386,LENGKOK BAHRU
387,HOLLAND AVE
388,WHAMPOA DR
389,SEGAR RD
390,YUNG PING RD
391,LOMPANG RD
392,MCNAIR RD
393,JURONG WEST CTRL 3
394,HOUGANG ST 31
395,SIN MING AVE
396,SERANGOON AVE 1
397,JURONG WEST ST 24
398,RIVERVALE CRES
399,TOA PAYOH NTH
400,JLN RUMAH TINGGI
401,MEI LING ST
402,PIPIT RD
403,MOH GUAN TER
404,BEDOK STH AVE 2
405,WOODLANDS ST 83
406,LOR 8 TOA PAYOH
407,YISHUN AVE 9
408,ANG MO KIO ST 21
409,TELOK BLANGAH CRES
410,HOUGANG ST 52
411,LOR 2 TOA PAYOH
412,BEDOK RESERVOIR VIEW
413,HAIG RD
414,YUNG LOH RD
415,BT BATOK ST 52
416,CHOA CHU KANG AVE 5
417,FERNVALE LANE
418,JLN TIGA
419,MARSILING DR
420,TAMPINES CTRL 1
421,TAMPINES AVE 8
422,TOH YI DR
423,CHOA CHU KANG NTH 5
424,WOODLANDS ST 32
425,CLEMENTI WEST ST 2
426,CHAI CHEE ST
427,BEDOK RESERVOIR RD
428,PETIR RD
429,RIVERVALE DR
430,CASSIA CRES
431,EMPRESS RD
432,BEDOK STH AVE 3
433,JOO CHIAT RD
434,TAMPINES ST 91
435,BISHAN ST 13
436,QUEEN'S CL
437,LOR AH SOO
438,ANCHORVALE RD
439,BT BATOK ST 24
440,CLEMENTI AVE 5
441,COMPASSVALE RD
442,BT BATOK ST 51
443,PASIR RIS ST 51
444,WOODLANDS ST 41
445,BEDOK NTH RD
446,PASIR RIS DR 6
447,MONTREAL DR
448,PASIR RIS ST 12
449,JLN TENAGA
450,SERANGOON CTRL DR
451,SERANGOON NTH AVE 2
452,PASIR RIS DR 3
453,SUMANG LINK
454,CLEMENTI AVE 3
455,TG PAGAR PLAZA
456,JLN KAYU
457,CANBERRA LINK
458,JURONG WEST ST 64
459,YISHUN CTRL
460,KENT RD
461,POTONG PASIR AVE 3
462,BISHAN ST 24
463,JLN KLINIK
464,DEPOT RD
465,LOR LIMAU
466,SENGKANG EAST WAY
467,YISHUN ST 61
468,BEDOK NTH ST 3
469,CRAWFORD LANE
470,LOR 1 TOA PAYOH
471,PUNGGOL CTRL
472,WOODLANDS AVE 3
473,TELOK BLANGAH ST 31
474,JURONG WEST ST 74
475,ALJUNIED CRES
476,NEW MKT RD
477,HOUGANG ST 91
478,HOY FATT RD
479,SERANGOON CTRL
480,HENDERSON CRES
481,LOR 3 GEYLANG
482,SEMBAWANG VISTA
483,YISHUN AVE 7
484,JLN DAMAI
485,YISHUN ST 21
486,JURONG WEST ST 42
487,CORPORATION DR
488,FARRER RD
489,PINE CL
490,BUANGKOK CRES
491,SEMBAWANG CL
492,QUEENSWAY
493,PUNGGOL EAST
494,BT PURMEI RD
495,BT BATOK ST 25
496,CLEMENTI AVE 2
497,BEDOK STH RD
498,BT BATOK ST 11
499,MONTREAL LINK
500,ANG MO KIO ST 52
501,WOODLANDS ST 82
502,SENJA LINK
503,LOR 3 TOA PAYOH
504,OLD AIRPORT RD
505,HOUGANG AVE 3
506,COMPASSVALE BOW
507,CANTONMENT CL
508,SENGKANG WEST AVE
509,ANG MO KIO AVE 9
510,POTONG PASIR AVE 2
511,ANG MO KIO AVE 8
512,COMPASSVALE LINK
513,TAMPINES ST 22
514,HOUGANG AVE 1
515,WOODLANDS CRES
516,UPP CROSS ST
517,GANGSA RD
518,BEDOK NTH AVE 2
519,SENGKANG EAST RD
520,ANCHORVALE ST
521,BEDOK NTH AVE 4
522,SERANGOON AVE 4
523,UPP ALJUNIED LANE
524,GHIM MOH RD
525,BOON KENG RD
526,WOODLANDS DR 16
527,JLN DUSUN
528,POTONG PASIR AVE 1
529,CHOA CHU KANG LOOP
530,JURONG WEST ST 75
531,JURONG WEST ST 91
532,TAMPINES ST 43
533,KIM TIAN RD
534,SIMEI ST 1
535,INDUS RD
536,SILAT AVE
537,UPP SERANGOON CRES
538,GEYLANG BAHRU
539,BT PANJANG RING RD
540,WOODLANDS DR 75
541,WHAMPOA RD
542,BISHAN ST 23
543,WOODLANDS AVE 6
544,UBI AVE 1
545,BEACH RD
546,SHUNFU RD
547,TAMPINES CTRL 8
548,ZION RD
549,YISHUN ST 71
550,TOA PAYOH CTRL
551,MARINE CRES
