licensee_name,postal_code,latitude,longitude,full_address,coordinates
AP HOUSE PTE. LTD.,18961,1.278363046,103.8509574,12 MARINA VIEW THE WESTIN SINGAPORE SINGAPORE 018961,"(1.278363046, 103.8509574)"
COLD STORAGE SINGAPORE (1983) PTE LTD,18972,1.283854644,103.8586749,2 BAYFRONT AVENUE DBS DBS MARINA BAY SANDS BRANCH SINGAPORE 018972,"(1.283854644, 103.8586749)"
FOUR SEASONS GOURMET MARKET PTE. LTD.,18984,1.279724915,103.8545488,8A MARINA BOULEVARD GROUND PLAZA (MARINA BAY LINK MALL) SINGAPORE 018984,"(1.279724915, 103.8545488)"
AL MARCHE PTE LTD,18987,1.280769435,103.8526586,2 MARINA BOULEVARD THE SAIL @ MARINA BAY SINGAPORE 018987,"(1.280769435, 103.8526586)"
COLD STORAGE SINGAPORE (1983) PTE LTD,38983,1.294324165,103.860372,3 TEMASEK BOULEVARD UOB SUNTEC CITY BRANCH SINGAPORE 038983,"(1.294324165, 103.860372)"
EPICUREAN CONCEPTS MARINA SQUARE PTE. LTD.,39594,1.291455268,103.8570073,6 RAFFLES BOULEVARD MINDCHAMPS PRESCHOOL @ MARINA SQUARE PTE. LTD. SINGAPORE 039594,"(1.291455268, 103.8570073)"
BOZZ INTERNATIONAL PTE. LTD.,39594,1.291455268,103.8570073,6 RAFFLES BOULEVARD MINDCHAMPS PRESCHOOL @ MARINA SQUARE PTE. LTD. SINGAPORE 039594,"(1.291455268, 103.8570073)"
WAN SIEW YOONG,50004,1.281800622,103.8429082,4 SAGO LANE SINGAPORE 050004,"(1.281800622, 103.8429082)"
HONG HENG SENG,50005,1.28119737,103.8434373,5 BANDA STREET SINGAPORE 050005,"(1.28119737, 103.8434373)"
NTUC Fairprice Co-operative Ltd,59413,1.285185161,103.8449429,133 NEW BRIDGE ROAD OCBC CHINATOWN POINT - FAIRPRICE SINGAPORE 059413,"(1.285185161, 103.8449429)"
SONG FISH DEALER PTE LTD,59413,1.285185161,103.8449429,133 NEW BRIDGE ROAD OCBC CHINATOWN POINT - FAIRPRICE SINGAPORE 059413,"(1.285185161, 103.8449429)"
NTUC Fairprice Co-operative Ltd,79027,1.274934748,103.8435524,100 TRAS STREET AMARA SINGAPORE SINGAPORE 079027,"(1.274934748, 103.8435524)"
COLD STORAGE SINGAPORE (1983) PTE LTD,79717,1.274709698,103.84432,16 ENGGOR STREET ICON VILLAGE SINGAPORE 079717,"(1.274709698, 103.84432)"
NTUC Fairprice Co-operative Ltd,81005,1.27624052,103.8430061,5 TANJONG PAGAR PLAZA SINGAPORE 081005,"(1.27624052, 103.8430061)"
LOTTE MART PTE. LTD.,88488,1.278173664,103.8439289,67 TANJONG PAGAR ROAD TANJONG PAGAR CONSERVATION AREA SINGAPORE 088488,"(1.278173664, 103.8439289)"
COLD STORAGE SINGAPORE (1983) PTE LTD,90008,1.277795391,103.8193413,8 TELOK BLANGAH CRESCENT SINGAPORE 090008,"(1.277795391, 103.8193413)"
COLD STORAGE SINGAPORE (1983) PTE LTD,98375,1.247758619,103.8419211,31 OCEAN WAY QUAYSIDE ISLE PREPARATORY SCHOOL SINGAPORE 098375,"(1.247758619, 103.8419211)"
COLD STORAGE SINGAPORE (1983) PTE LTD,98537,1.246940686,103.8399861,1 COVE AVENUE OCBC SENTOSA COVE SINGAPORE 098537,"(1.246940686, 103.8399861)"
COLD STORAGE SINGAPORE (1983) PTE LTD,98585,1.264270543,103.8224761,1 HARBOURFRONT WALK UOB VIVO CITY BRANCH SINGAPORE 098585,"(1.264270543, 103.8224761)"
COLD STORAGE SINGAPORE (1983) PTE LTD,99253,1.264088893,103.8202088,1 MARITIME SQUARE OCBC MARITIME SQUARE HARBOURFRONT BRANCH SINGAPORE 099253,"(1.264088893, 103.8202088)"
NTUC Fairprice Co-operative Ltd,100108,1.280966807,103.8102982,108 DEPOT ROAD OCBC DEPOT HEIGHTS SHOPPING CENTRE SINGAPORE 100108,"(1.280966807, 103.8102982)"
NTUC Fairprice Co-operative Ltd,101078,1.27338252,103.8089348,78A TELOK BLANGAH STREET 32 PCF SPARKLETOTS PRESCHOOL @ TELOK BLANGAH BLK 78A (KN) SINGAPORE 101078,"(1.27338252, 103.8089348)"
NTUC Fairprice Co-operative Ltd,119082,1.293512877,103.7846856,1 LOWER KENT RIDGE ROAD OCBC NUH - FAIRPRICE SINGAPORE 119082,"(1.293512877, 103.7846856)"
NTUC Fairprice Co-operative Ltd,119963,1.273842639,103.801375,460 ALEXANDRA ROAD DBS NTUC ALEXANDRA RETAIL CENTRE SINGAPORE 119963,"(1.273842639, 103.801375)"
THNG SAIK MONG,120108,1.322123929,103.7702659,108 CLEMENTI STREET 11 SUNSET WAY RESIDENCE SINGAPORE 120108,"(1.322123929, 103.7702659)"
U STARS SUPERMARKET PTE. LTD.,120345,1.317702812,103.7690767,345 CLEMENTI AVENUE 5 SINGAPORE 120345,"(1.317702812, 103.7690767)"
SHENG SIONG SUPERMARKET PTE LTD,120352,1.314278602,103.7713506,352 CLEMENTI AVENUE 2 CLEMENTI AVENUE 2 SHOPPING CENTRE SINGAPORE 120352,"(1.314278602, 103.7713506)"
NTUC Fairprice Co-operative Ltd,120352,1.314278602,103.7713506,352 CLEMENTI AVENUE 2 CLEMENTI AVENUE 2 SHOPPING CENTRE SINGAPORE 120352,"(1.314278602, 103.7713506)"
NTUC Fairprice Co-operative Ltd,120451,1.312648085,103.7656803,451 CLEMENTI AVENUE 3 OCBC CLEMENTI AVENUE 3 - FAIRPRICE SINGAPORE 120451,"(1.312648085, 103.7656803)"
NTUC Fairprice Co-operative Ltd,120502,1.311906964,103.759128,502 WEST COAST DRIVE OCBC WEST COAST DRIVE - FAIRPRICE SINGAPORE 120502,"(1.311906964, 103.759128)"
SHENG SIONG SUPERMARKET PTE LTD,120720,1.302464088,103.763751,720 CLEMENTI WEST STREET 2 SINGAPORE 120720,"(1.302464088, 103.763751)"
SHENG SIONG SUPERMARKET PTE LTD,121420,1.309647916,103.7686674,420A CLEMENTI AVENUE 1 PCF SPARKLETOTS PRESCHOOL @ CLEMENTI 420A (CC) SINGAPORE 121420,"(1.309647916, 103.7686674)"
COLD STORAGE SINGAPORE (1983) PTE LTD,127371,1.303624575,103.7658584,154 WEST COAST ROAD MINDCHAMPS PRESCHOOL @ WEST COAST PLAZA PTE. LIMITED SINGAPORE 127371,"(1.303624575, 103.7658584)"
L M MEAT PTE. LTD,127371,1.303624575,103.7658584,154 WEST COAST ROAD MINDCHAMPS PRESCHOOL @ WEST COAST PLAZA PTE. LIMITED SINGAPORE 127371,"(1.303624575, 103.7658584)"
NTUC Fairprice Co-operative Ltd,129588,1.315161908,103.7647118,3155 COMMONWEALTH AVENUE WEST OCBC THE CLEMENTI MALL - FAIRPRICE SINGAPORE 129588,"(1.315161908, 103.7647118)"
COLD STORAGE SINGAPORE (1983) PTE LTD,129787,1.301761305,103.7693694,101 CLEMENTI ROAD DBS NUS KENT VALE SINGAPORE 129787,"(1.301761305, 103.7693694)"
NTUC Fairprice Co-operative Ltd,130028,1.304460927,103.7817797,28 DOVER CRESCENT OCBC DOVER CRESCENT - FAIRPRICE SINGAPORE 130028,"(1.304460927, 103.7817797)"
COLD STORAGE SINGAPORE (1983) PTE LTD,138617,1.30684882,103.7882145,1 VISTA EXCHANGE GREEN THE STAR PERFORMING ART CENTRE SINGAPORE 138617,"(1.30684882, 103.7882145)"
TANESEI TRADING PTE. LTD.,138617,1.30684882,103.7882145,1 VISTA EXCHANGE GREEN THE STAR PERFORMING ART CENTRE SINGAPORE 138617,"(1.30684882, 103.7882145)"
COLD STORAGE SINGAPORE (1983) PTE LTD,138632,1.299598572,103.7876409,"1 FUSIONOPOLIS WAY AGENCY FOR SCIENCE, TECHNOLOGY AND RESEARCH (A*STAR) SINGAPORE 138632","(1.299598572, 103.7876409)"
NTUC Fairprice Co-operative Ltd,140170,1.290911282,103.8031208,170 STIRLING ROAD OCBC STIRLING ROAD - FAIRPRICE SINGAPORE 140170,"(1.290911282, 103.8031208)"
SHENG SIONG SUPERMARKET PTE LTD,141085,1.295319663,103.8097586,85 DAWSON ROAD SKYVILLE @ DAWSON SINGAPORE 141085,"(1.295319663, 103.8097586)"
SHENG SIONG SUPERMARKET PTE LTD,141088,1.301785064,103.7982264,88 TANGLIN HALT ROAD CARE CORNER FAMILY SERVICE CENTRE (QUEENSTOWN) SINGAPORE 141088,"(1.301785064, 103.7982264)"
NTUC Fairprice Co-operative Ltd,142057,1.292703398,103.810959,57 DAWSON ROAD SEEDLINGS MONTESSORI ALEXANDRA PTE LTD SINGAPORE 142057,"(1.292703398, 103.810959)"
NTUC Fairprice Co-operative Ltd,150001,1.286441576,103.808287,1 JALAN BUKIT MERAH OCBC JALAN BUKIT MERAH - FAIRPRICE SINGAPORE 150001,"(1.286441576, 103.808287)"
COLD STORAGE SINGAPORE (1983) PTE LTD,150086,1.286920062,103.8186736,86 REDHILL CLOSE SINGAPORE 150086,"(1.286920062, 103.8186736)"
NTUC Fairprice Co-operative Ltd,150166,1.283150928,103.8176897,166 BUKIT MERAH CENTRAL HDB BUKIT MERAH BRANCH SINGAPORE 150166,"(1.283150928, 103.8176897)"
NTUC Fairprice Co-operative Ltd,159053,1.286420968,103.8138655,20 LENGKOK BAHRU BLK G SINGAPORE 159053,"(1.286420968, 103.8138655)"
COLD STORAGE SINGAPORE (1983) PTE LTD,159953,1.28861469,103.80501,370 ALEXANDRA ROAD ANCHORPOINT SHOPPING CENTRE SINGAPORE 159953,"(1.28861469, 103.80501)"
L M MEAT PTE. LTD,159953,1.28861469,103.80501,370 ALEXANDRA ROAD ANCHORPOINT SHOPPING CENTRE SINGAPORE 159953,"(1.28861469, 103.80501)"
NTUC Fairprice Co-operative Ltd,160050,1.289764755,103.8268029,50 HAVELOCK ROAD OCBC HAVELOCK ROAD - FAIRPRICE SINGAPORE 160050,"(1.289764755, 103.8268029)"
SHENG SIONG SUPERMARKET PTE LTD,160052,1.287082783,103.8415801,52 CHIN SWEE ROAD SINGAPORE 160052,"(1.287082783, 103.8415801)"
FASSLER GOURMET PTE LTD,160055,1.284413965,103.8341355,55 TIONG BAHRU ROAD TIONG BAHRU ESTATE SINGAPORE 160055,"(1.284413965, 103.8341355)"
SECRETS FINE FOOD PTE. LTD.,160055,1.284413965,103.8341355,55 TIONG BAHRU ROAD TIONG BAHRU ESTATE SINGAPORE 160055,"(1.284413965, 103.8341355)"
COLD STORAGE SINGAPORE (1983) PTE LTD,161026,1.282634376,103.8255958,26 JALAN MEMBINA MULTI STOREY CAR PARK SINGAPORE 161026,"(1.282634376, 103.8255958)"
NTUC Fairprice Co-operative Ltd,168732,1.286458894,103.8270153,302 TIONG BAHRU ROAD UOB TIONG BAHRU BRANCH AUTO LOBBY SINGAPORE 168732,"(1.286458894, 103.8270153)"
FOODIE MARKET PLACE PTE LTD,169038,1.283450776,103.8353712,225F OUTRAM ROAD SINGAPORE 169038,"(1.283450776, 103.8353712)"
NTUC Fairprice Co-operative Ltd,169252,1.284807338,103.829298,18 KIM TIAN ROAD OCBC KIM TIAN ROAD - FAIRPRICE SINGAPORE 169252,"(1.284807338, 103.829298)"
MEIDI-YA SINGAPORE CO (PTE) LTD,179030,1.291490199,103.8446689,177 RIVER VALLEY ROAD SINGAPORE 179030,"(1.291490199, 103.8446689)"
COLD STORAGE SINGAPORE (1983) PTE LTD,179097,1.29109531,103.8499248,109 NORTH BRIDGE ROAD DEPARTMENT OF STATISTICS SINGAPORE 179097,"(1.29109531, 103.8499248)"
COLD STORAGE SINGAPORE (1983) PTE LTD,179103,1.293760281,103.8527683,252 NORTH BRIDGE ROAD CITIBANK RAFFLES CITY SHOPPING CENTRE SINGAPORE 179103,"(1.293760281, 103.8527683)"
NTUC Fairprice Co-operative Ltd,180001,1.302813225,103.8548185,1 Rochor Road Singapore 180001,"(1.302813225, 103.8548185)"
"JEWISH WELFARE BOARD, SINGAPORE",187950,1.298273283,103.8505995,24 WATERLOO STREET MAGHAIN ABOTH SYNAGOGUE SINGAPORE 187950,"(1.298273283, 103.8505995)"
COLD STORAGE SINGAPORE (1983) PTE LTD,188024,1.299563771,103.8559926,230 VICTORIA STREET INTERNATIONAL ENTERPRISE SINGAPORE (IE) SINGAPORE 188024,"(1.299563771, 103.8559926)"
LOH NYEN YIU,199588,1.302924747,103.8653732,5001 BEACH ROAD UOB GOLDEN MILE COMPLEX SINGAPORE 199588,"(1.302924747, 103.8653732)"
DEARN KAPAG PTE. LTD.,199588,1.302924747,103.8653732,5001 BEACH ROAD UOB GOLDEN MILE COMPLEX SINGAPORE 199588,"(1.302924747, 103.8653732)"
PRIME SUPERMARKET LIMITED?,200803,1.308365264,103.8609128,803 KING GEORGE'S AVENUE SINGAPORE 200803,"(1.308365264, 103.8609128)"
NTUC Fairprice Co-operative Ltd,200808,1.308806094,103.861312,808 FRENCH ROAD OCBC FRENCH ROAD - FAIRPRICE SINGAPORE 200808,"(1.308806094, 103.861312)"
MAHOTA FOOD PTE. LTD.,200809,1.308393967,103.8620598,809 FRENCH ROAD KITCHENER COMPLEX SINGAPORE 200809,"(1.308393967, 103.8620598)"
MUSTAFA HOLDINGS PTE LTD,207706,1.309752999,103.8557015,147 SYED ALWI ROAD SINGAPORE 207706,"(1.309752999, 103.8557015)"
NTUC Fairprice Co-operative Ltd,208539,1.311393494,103.8564871,180 KITCHENER ROAD LEAP SCHOOLHOUSE @ CITY SQUARE MALL PTE LTD SINGAPORE 208539,"(1.311393494, 103.8564871)"
SONG FISH DEALER PTE LTD,208539,1.311393494,103.8564871,180 KITCHENER ROAD LEAP SCHOOLHOUSE @ CITY SQUARE MALL PTE LTD SINGAPORE 208539,"(1.311393494, 103.8564871)"
SHENG SIONG SUPERMARKET PTE LTD,209037,1.30740645,103.8574784,1 JALAN BERSEH OCBC NEW WORLD CENTRE SINGAPORE 209037,"(1.30740645, 103.8574784)"
SHENG SIONG SUPERMARKET PTE LTD,209037,1.30740645,103.8574784,1 JALAN BERSEH OCBC NEW WORLD CENTRE SINGAPORE 209037,"(1.30740645, 103.8574784)"
PARDESHI PTE. LTD.,209586,1.308878029,103.8551555,60A DESKER ROAD DESKER ROAD CONSERVATION AREA SINGAPORE 209586,"(1.308878029, 103.8551555)"
NTUC Fairprice Co-operative Ltd,210043,1.315315951,103.8494542,43 CAMBRIDGE ROAD OCBC CAMBRIDGE ROAD - FAIRPRICE SINGAPORE 210043,"(1.315315951, 103.8494542)"
AMISTA INTERNATIONAL PTE. LTD.,210684,1.314307076,103.8566595,684 RACE COURSE ROAD SINGAPORE 210684,"(1.314307076, 103.8566595)"
SHENG SIONG SUPERMARKET PTE LTD,218227,1.305104362,103.8514743,2 SERANGOON ROAD CITADINES ROCHOR SINGAPORE SINGAPORE 218227,"(1.305104362, 103.8514743)"
NTUC Fairprice Co-operative Ltd,228209,1.305806097,103.8330596,6 SCOTTS ROAD OCBC SCOTTS SQUARE - FAIRPRICE SINGAPORE 228209,"(1.305806097, 103.8330596)"
COLD STORAGE SINGAPORE (1983) PTE LTD,229594,1.307562369,103.8293522,1 CLAYMORE DRIVE EMBASSY OF ROMANIA SINGAPORE 229594,"(1.307562369, 103.8293522)"
COLD STORAGE SINGAPORE (1983) PTE LTD,237994,1.293410628,103.8318526,1 KIM SENG PROMENADE EMBASSY OF THE REPUBLIC OF KAZAKHSTAN SINGAPORE 237994,"(1.293410628, 103.8318526)"
FOUR SEASONS ORGANIC MARKET PTE. LTD.,237994,1.293410628,103.8318526,1 KIM SENG PROMENADE EMBASSY OF THE REPUBLIC OF KAZAKHSTAN SINGAPORE 237994,"(1.293410628, 103.8318526)"
THE BUTCHER'S DOG PTE. LTD.,237994,1.293410628,103.8318526,1 KIM SENG PROMENADE EMBASSY OF THE REPUBLIC OF KAZAKHSTAN SINGAPORE 237994,"(1.293410628, 103.8318526)"
COLD STORAGE SINGAPORE (1983) PTE LTD,238164,1.300300123,103.8373125,111 SOMERSET ROAD SWEDISH SUPPLEMENTARY EDUCATION SCHOOL SINGAPORE 238164,"(1.300300123, 103.8373125)"
COLD STORAGE SINGAPORE (1983) PTE LTD,238801,1.304035779,103.8313951,2 ORCHARD TURN ORCHARD ROAD POST OFFICE SINGAPORE 238801,"(1.304035779, 103.8313951)"
COLD STORAGE SINGAPORE (1983) PTE LTD,238839,1.30083413,103.8450727,68 ORCHARD ROAD STANDARD CHARTERED BANK PLAZA SINGAPURA SINGAPORE 238839,"(1.30083413, 103.8450727)"
COLD STORAGE SINGAPORE (1983) PTE LTD,238859,1.303723224,103.8352403,290 ORCHARD ROAD MINDCHAMPS PRESCHOOL @ PARAGON PTE. LIMITED SINGAPORE 238859,"(1.303723224, 103.8352403)"
ISETAN (SINGAPORE) LIMITED?,238868,1.305868006,103.8315183,350 ORCHARD ROAD SHAW THEATRES LIDO SINGAPORE 238868,"(1.305868006, 103.8315183)"
COLD STORAGE SINGAPORE (1983) PTE LTD,238873,1.302424172,103.8346761,391A ORCHARD ROAD NGEE ANN CITY SINGAPORE 238873,"(1.302424172, 103.8346761)"
COLD STORAGE SINGAPORE (1983) PTE LTD,238879,1.307622826,103.8285904,442 ORCHARD ROAD ORCHARD HOTEL SINGAPORE SINGAPORE 238879,"(1.307622826, 103.8285904)"
SUPERNATURE PTE LTD,238884,1.306248731,103.8290349,583 ORCHARD ROAD OCBC FORUM THE SHOPPING MALL SINGAPORE 238884,"(1.306248731, 103.8290349)"
THE BUTCHER (SINGAPORE) PTE. LTD.,239010,1.293841011,103.8416149,11 MOHAMED SULTAN ROAD SINGAPORE 239010,"(1.293841011, 103.8416149)"
NTUC Fairprice Co-operative Ltd,239571,1.297275314,103.8385339,131 KILLINEY ROAD OCBC KILLINEY ROAD - FAIRPRICE SINGAPORE 239571,"(1.297275314, 103.8385339)"
COLD STORAGE SINGAPORE (1983) PTE LTD,239917,1.292259585,103.842561,81 CLEMENCEAU AVENUE CITIBANK UE SQUARE SINGAPORE 239917,"(1.292259585, 103.842561)"
CULINA PTE LTD,247696,1.304175116,103.8095261,8 DEMPSEY ROAD DEMPSEY CLUSTER (TANGLIN VILLAGE) SINGAPORE 247696,"(1.304175116, 103.8095261)"
COLD STORAGE SINGAPORE (1983) PTE LTD,247933,1.304853421,103.8238835,163 TANGLIN ROAD UOB TANGLIN MALL SINGAPORE 247933,"(1.304853421, 103.8238835)"
SWISS BUTCHERY PTE LTD,247964,1.305552432,103.8230845,56 TANGLIN ROAD TANGLIN POST OFFICE SINGAPORE 247964,"(1.305552432, 103.8230845)"
NTUC Fairprice Co-operative Ltd,248371,1.293105154,103.8270759,491 RIVER VALLEY ROAD OCBC RIVER VALLEY ROAD - FAIRPRICE SINGAPORE 248371,"(1.293105154, 103.8270759)"
HUBER'S PTE. LTD.,249679,1.306792403,103.8101858,22 DEMPSEY ROAD DEMPSEY CLUSTER (TANGLIN VILLAGE) SINGAPORE 249679,"(1.306792403, 103.8101858)"
COLD STORAGE SINGAPORE (1983) PTE LTD,259727,1.319464412,103.8272976,383 BUKIT TIMAH ROAD ALOCASSIA APARTMENTS SINGAPORE 259727,"(1.319464412, 103.8272976)"
COLD STORAGE SINGAPORE (1983) PTE LTD,259760,1.322573169,103.8142455,501 BUKIT TIMAH ROAD CLUNY COURT SINGAPORE 259760,"(1.322573169, 103.8142455)"
THE FISHWIVES PTE. LTD.,259760,1.322573169,103.8142455,501 BUKIT TIMAH ROAD CLUNY COURT SINGAPORE 259760,"(1.322573169, 103.8142455)"
COLD STORAGE SINGAPORE (1983) PTE LTD,268802,1.330774928,103.7957134,1 FIFTH AVENUE DBS GUTHRIE HOUSE SINGAPORE 268802,"(1.330774928, 103.7957134)"
NTUC Fairprice Co-operative Ltd,269707,1.3238337,103.810002,587 BUKIT TIMAH ROAD OCBC BUKIT TIMAH RD - FAIRPRICE SINGAPORE 269707,"(1.3238337, 103.810002)"
MEAT THE BUTCHER PTE. LTD.,269716,1.324373542,103.8093578,615 BUKIT TIMAH ROAD SINGAPORE 269716,"(1.324373542, 103.8093578)"
COLD STORAGE SINGAPORE (1983) PTE LTD,270021,1.310081182,103.7885329,21 GHIM MOH ROAD GHIM MOH ESTATE POST OFFICE SINGAPORE 270021,"(1.310081182, 103.7885329)"
SHENG SIONG SUPERMARKET PTE LTD,270025,1.308118863,103.7860494,25 GHIM MOH LINK DBS GHIM MOH ROAD SINGAPORE 270025,"(1.308118863, 103.7860494)"
NTUC Fairprice Co-operative Ltd,270036,1.309258719,103.7926194,36 HOLLAND DRIVE BUONA VISTA COMMUNITY CLUB COMPLEX SINGAPORE 270036,"(1.309258719, 103.7926194)"
YEO KENG GUAN,276696,1.31661898,103.7789473,5 RIDGEWOOD CLOSE RIDGEWOOD CONDOMINIUM SINGAPORE 276696,"(1.31661898, 103.7789473)"
THE BUTCHER (SINGAPORE) PTE. LTD.,278116,1.311921954,103.796844,44 JALAN MERAH SAGA SINGAPORE 278116,"(1.311921954, 103.796844)"
COLD STORAGE SINGAPORE (1983) PTE LTD,278628,1.31759343,103.7858406,293 HOLLAND ROAD COLD STORAGE JELITA SHOPPING CENTRE SINGAPORE 278628,"(1.31759343, 103.7858406)"
COLD STORAGE SINGAPORE (1983) PTE LTD,278967,1.310255422,103.7953504,211 HOLLAND AVENUE MINDCHAMPS PRESCHOOL @ HOLLAND V PTE. LTD. SINGAPORE 278967,"(1.310255422, 103.7953504)"
COLD STORAGE SINGAPORE (1983) PTE LTD,287994,1.338796735,103.7932561,200 TURF CLUB ROAD MINDCHAMPS PRESCHOOL @ BUKIT TIMAH PTE. LIMITED SINGAPORE 287994,"(1.338796735, 103.7932561)"
SFERM PTE. LTD.,287994,1.338796735,103.7932561,200 TURF CLUB ROAD MINDCHAMPS PRESCHOOL @ BUKIT TIMAH PTE. LIMITED SINGAPORE 287994,"(1.338796735, 103.7932561)"
COLD STORAGE SINGAPORE (1983) PTE LTD,289215,1.331491293,103.806809,20 GREENWOOD AVENUE HILLCREST PARK SINGAPORE 289215,"(1.331491293, 103.806809)"
SWISS BUTCHERY (2013) PRIVATE LIMITED,289230,1.331760921,103.8065867,30 GREENWOOD AVENUE HILLCREST PARK SINGAPORE 289230,"(1.331760921, 103.8065867)"
ROSWELL ENTERPRISE PTE LTD,289236,1.331832465,103.8064925,34 GREENWOOD AVENUE HILLCREST PARK SINGAPORE 289236,"(1.331832465, 103.8064925)"
